chick_no,breeds,gender,hatchday,egg_weight,vaccination1,vaccination2,farm
A2510001,C1,M,2025-01-01,65,1,1,A
A2510002,C1,M,2025-01-01,62,1,1,A
A2510003,C1,M,2025-01-01,67,1,1,A
A2500004,C1,F,2025-01-01,69,1,1,A
A2500005,C1,F,2025-01-01,70,1,1,A
A2510006,C2,M,2025-01-01,68,1,1,A
A2510007,C2,M,2025-01-01,66,0,1,A
A2510008,C2,M,2025-01-01,69,1,0,A
A2500009,C1,F,2025-01-02,66,1,1,A
A2500010,C1,F,2025-01-02,70,1,0,A
A2510011,C2,M,2025-01-02,69,1,1,A
A2510012,C2,M,2025-01-02,62,1,1,A
A2500013,C2,F,2025-01-02,70,1,1,A
A2500014,C2,F,2025-01-02,63,1,1,A
A2510015,C1,M,2025-01-03,67,1,0,A
A2510016,C1,M,2025-01-03,70,1,1,A
A2500017,C1,F,2025-01-03,65,0,1,A
A2500018,C2,F,2025-01-03,69,1,1,A
A2500019,C2,F,2025-01-03,68,1,0,A
A2500020,C2,F,2025-01-03,69,1,1,A
B2510001,B1,M,2025-01-01,69,0,1,B
B2510002,B1,M,2025-01-01,65,1,1,B
B2510003,B1,M,2025-01-01,69,1,1,B
B2500004,B1,F,2025-01-01,68,1,1,B
B2500005,B1,F,2025-01-01,66,1,1,B
B2510006,D1,M,2025-01-01,66,1,0,B
B2500007,D1,F,2025-01-01,66,1,1,B
B2500008,D1,F,2025-01-01,70,1,1,B
B2500009,D1,F,2025-01-01,66,1,1,B
B2500010,B1,F,2025-01-02,67,1,1,B
B2500011,B1,F,2025-01-02,66,1,1,B
B2500012,B1,F,2025-01-02,61,1,1,B
B2510013,D1,M,2025-01-02,65,1,1,B
B2500014,D1,F,2025-01-02,62,1,1,B
B2510015,B1,M,2025-01-03,69,0,1,B
B2510016,B1,M,2025-01-03,69,1,1,B
B2510017,D1,M,2025-01-03,65,1,1,B
B2510018,D1,M,2025-01-03,65,1,1,B
B2510019,D1,M,2025-01-03,66,0,0,B
B2500020,D1,F,2025-01-03,66,0,1,B
