chick_no,prod_date,raw_weight,disease_yn,size_stand,pass_fail
A2510001,2025-01-31,1136,N,11,P
A2510002,2025-01-31,1173,N,12,P
A2510003,2025-01-31,1167,N,12,P
A2500004,2025-01-31,1154,N,12,P
A2500005,2025-01-31,1160,N,12,P
A2510006,2025-01-31,1150,N,11,P
A2510007,2025-01-31,1142,N,11,P
A2510008,2025-01-31,1166,N,12,P
A2500009,2025-02-01,1155,N,12,P
A2500010,2025-02-01,1131,N,11,P
A2510011,2025-02-01,1147,N,11,P
A2510012,2025-02-01,1133,N,11,P
A2500013,2025-02-01,1142,N,11,P
A2500014,2025-02-01,1152,N,12,P
A2510015,2025-02-02,1172,N,12,P
A2510016,2025-02-02,1155,N,12,P
A2500017,2025-02-02,1139,N,11,P
A2500018,2025-02-02,1162,N,12,P
A2500019,2025-02-02,1173,N,12,P
A2500020,2025-02-02,1178,N,12,P
B2510001,2025-01-31,1152,N,12,P
B2510002,2025-01-31,1164,N,12,P
B2510003,2025-01-31,1164,N,12,P
B2500004,2025-01-31,1161,N,12,P
B2500005,2025-01-31,1138,N,11,P
B2510006,2025-01-31,1151,N,12,P
B2500007,2025-01-31,1164,N,12,P
B2500008,2025-01-31,1154,N,12,P
B2500009,2025-01-31,1049,N,10,F
B2500010,2025-02-01,1140,N,11,P
B2500011,2025-02-01,1146,N,11,P
B2500012,2025-02-01,1136,N,11,P
B2510013,2025-02-01,1140,N,11,P
B2500014,2025-02-01,1133,N,11,P
B2510015,2025-02-02,1156,N,12,P
B2510016,2025-02-02,1134,N,11,P
B2510017,2025-02-02,1146,N,11,P
B2510018,2025-02-02,1165,N,12,P
B2510019,2025-02-02,1034,Y,10,F
B2500020,2025-02-02,1154,N,12,P
