chick_no,order_no,customer,due_date,arrival_date,destination
A2510001,B001,BBQUEEN,2025-02-05,2025-02-05,부산
A2510002,M002,MAXCANA,2025-02-05,2025-02-04,당진
A2510003,M002,MAXCANA,2025-02-05,2025-02-04,당진
A2500004,M001,MAXCANA,2025-02-05,2025-02-05,대전
A2500005,M001,MAXCANA,2025-02-05,2025-02-05,대전
A2510006,B002,BBQUEEN,2025-02-05,2025-02-05,울산
A2510007,B002,BBQUEEN,2025-02-05,2025-02-05,울산
A2510008,M002,MAXCANA,2025-02-05,2025-02-04,당진
A2500009,M001,MAXCANA,2025-02-05,2025-02-05,대전
A2500010,B001,BBQUEEN,2025-02-05,2025-02-05,부산
A2510011,B002,BBQUEEN,2025-02-05,2025-02-05,울산
A2510012,B002,BBQUEEN,2025-02-05,2025-02-05,울산
A2500013,B002,BBQUEEN,2025-02-05,2025-02-05,울산
A2500014,M001,MAXCANA,2025-02-05,2025-02-05,대전
A2510015,M002,MAXCANA,2025-02-05,2025-02-04,당진
A2510016,M002,MAXCANA,2025-02-05,2025-02-04,당진
A2500017,B001,BBQUEEN,2025-02-05,2025-02-05,부산
A2500018,M001,MAXCANA,2025-02-05,2025-02-05,대전
A2500019,M001,MAXCANA,2025-02-05,2025-02-05,대전
A2500020,M001,MAXCANA,2025-02-05,2025-02-05,대전
B2510001,Y001,YESYES,2025-02-04,2025-02-04,서울
B2510002,Y001,YESYES,2025-02-04,2025-02-04,서울
B2510003,Y001,YESYES,2025-02-04,2025-02-04,서울
B2500004,Y001,YESYES,2025-02-04,2025-02-04,서울
B2500005,G001,GUBNA,2025-02-05,2025-02-05,대구
B2510006,Y001,YESYES,2025-02-04,2025-02-04,서울
B2500007,Y001,YESYES,2025-02-04,2025-02-04,서울
B2500008,Y001,YESYES,2025-02-04,2025-02-04,서울
B2500010,G001,GUBNA,2025-02-05,2025-02-05,대구
B2500011,G001,GUBNA,2025-02-05,2025-02-05,대구
B2500012,G001,GUBNA,2025-02-05,2025-02-05,대구
B2510013,G002,GUBNA,2025-02-05,2025-02-05,광주
B2500014,G002,GUBNA,2025-02-05,2025-02-05,광주
B2510015,Y001,YESYES,2025-02-04,2025-02-04,서울
B2510016,G001,GUBNA,2025-02-05,2025-02-05,대구
B2510017,G002,GUBNA,2025-02-05,2025-02-05,광주
B2510018,Y001,YESYES,2025-02-04,2025-02-04,서울
B2500020,Y001,YESYES,2025-02-04,2025-02-04,서울
